,comp_produced_prod_mean,price_produced_prod_mean,output_all_prdcts,price_produced_prod_std,share_produced_products,prod_space_struc
153,4.14947320582904,249.96174152468282,225.5,165.3149858100772,0.06,Random
154,3.8666865699890214,106.11177300782923,317.5,119.06542133493194,0.06,Random
155,4.525319443212245,273.17109035515165,197.5,206.10990648115933,0.05,Random
156,4.294408891007567,151.05783456555898,597.691896916499,134.3630941568372,0.11,Random
157,2.3937711861475144,126.51205993254331,311.5,133.20462188218306,0.07,Random
158,3.0840314637242803,211.69209819814319,157.0,209.0440185553969,0.04,Random
159,3.586972921745199,51.48291561672512,336.0,67.80791502800831,0.06,Random
160,4.258159145018812,284.58332490682443,530.8722675,170.40543304980753,0.12,Random
161,2.987839521676895,42.41829540458439,368.0,37.660827894192856,0.06,Random
162,3.110768714988248,84.95342742161353,453.5,109.64121583035109,0.09,Random
163,4.716475835028252,186.94594877963826,308.0,180.07644241312752,0.06,Random
164,3.8923366202282854,114.7739057095352,283.5,140.27655580681036,0.05,Random
165,3.2124555554465988,157.55179381606413,473.5,179.158122116339,0.09,Random
166,3.3312212661269007,50.80629808720274,228.0,44.130142113221616,0.04,Random
167,4.1050832187071284,142.04423250053694,308.0,140.8329153533029,0.07,Random
168,3.901604515851653,174.94069577250028,232.0,165.87615228838743,0.05,Random
169,4.965137836002698,63.49900748717465,238.0,57.716779503074044,0.04,Random
170,3.472676948070305,95.11185666430113,516.5,114.80511424347016,0.09,Random
171,4.177670891368002,120.33321808732669,376.5,129.6440693485409,0.07,Random
172,3.563507658321865,180.15352538758103,217.0,205.07124653654162,0.05,Random
173,2.613153227692429,128.16219864171106,212.5,161.34033964615838,0.05,Random
174,3.6824147063518655,26.4660733855117,63.0,22.648685981826507,0.02,Random
175,3.5946741073059916,144.31961855091532,386.0,140.21082530075856,0.08,Random
176,2.8239156457569776,154.73007623415663,196.0,171.04392087287536,0.05,Random
177,4.030376104332683,107.45410492920793,229.5,119.61402397794865,0.04,Random
178,3.3088476760008803,113.26446259012688,340.5,147.04366293833388,0.07,Random
179,2.9444900640207714,158.178918956724,826.5,133.14016531268538,0.17,Random
180,4.156516139568485,75.80579835377604,176.0,93.811970627431,0.03,Random
181,2.758325939707173,111.01440362373067,371.0,151.66449271487113,0.07,Random
182,4.753725608238671,279.56204250825056,484.0,197.34618184379795,0.11,Random
183,3.7096178612534283,140.4810481610385,332.5,170.80335913347594,0.06,Random
184,3.027885158149384,92.49943106628791,143.5,72.24842812631549,0.04,Random
185,3.3224070944482635,166.91286712380406,348.5,166.5836985589391,0.07,Random
186,4.64776641599227,275.4879999600421,207.0,170.86791172623967,0.05,Random
187,3.923114322315985,62.14117110130663,299.0,81.7347865134459,0.05,Random
188,4.508726827483958,58.29358306293486,136.0,38.26364267121987,0.03,Random
189,2.748011561475373,100.09170656791088,379.5,131.04830347204222,0.07,Random
190,2.6597244014139894,67.99170223264332,443.0,69.75778798361179,0.08,Random
191,1.5426984212370458,5.320866940705249,293.0,4.208445503114938,0.05,Random
192,1.7370524324554242,61.4155269518261,514.5,121.40972810745018,0.09,Random
193,3.759989141564029,259.9998439094869,229.5,222.59206718594743,0.06,Random
194,3.2721712304453674,127.29249359522751,271.5,137.5327480654689,0.06,Random
195,3.1321346313007647,86.65943284212514,617.0,67.81499014239853,0.11,Random
196,3.5503406657009915,63.61568421236228,130.0,80.94478261289824,0.03,Random
197,5.28540616105,81.9469626942331,120.0,88.99042404921673,0.03,Random
198,1.96867792435868,83.1492719664252,795.5779807238258,107.41255931474008,0.14,Random
199,2.910863004909613,148.30771676605949,820.5,122.38136082460021,0.16,Random
200,3.3178501011453343,149.16523701322168,643.0,145.56536658841043,0.13,Regular
201,3.8979155483917727,143.05310454540603,925.5,122.14326153103741,0.17,Regular
202,3.7171938722749136,186.12889708552083,629.0,155.36326673740714,0.13,Regular
203,3.156678749315735,145.4665499803433,788.0,107.71363354055508,0.16,Regular
204,3.3979136208237386,87.64634502811991,574.5,95.04700851707601,0.1,Regular
205,4.137386266036899,230.1382000889353,613.0,160.88356007234145,0.13,Regular
206,3.2543741969241378,164.43190149895648,635.0,131.8910128262089,0.13,Regular
207,3.287661155313069,129.11805476157676,643.5,121.54999939146151,0.12,Regular
208,3.6296305654423553,153.6582894474679,568.0,145.33126995927216,0.11,Regular
209,2.8908499530247767,130.66855321331698,937.5,106.94880002072064,0.18,Regular
210,3.744783528309516,203.42992495030774,856.0,148.44715543697578,0.18,Regular
211,3.714701545246772,134.22279032375326,568.5,135.43460539565268,0.11,Regular
212,4.019008679375815,195.79481666440086,600.5,157.55595950696042,0.12,Regular
213,3.645530063437876,165.18008707173476,644.0,146.74468040672397,0.13,Regular
214,3.7702425449857446,202.98173582313493,558.0,155.4654060811497,0.12,Regular
